name,psnr,ssim_optional
00019.png,8.007767378656098,
00018.png,8.010607604129326,
00020.png,8.018360760811547,
00017.png,8.023185956678702,
00021.png,8.02415379140811,
00024.png,8.02469966421718,
00025.png,8.02490246992815,
00023.png,8.025070930035454,
00026.png,8.026407252986196,
00022.png,8.026699162622265,
00016.png,8.03475242154692,
00027.png,8.035668896868088,
00015.png,8.051362341913112,
00028.png,8.056462417639906,
00014.png,8.081791756178873,
00029.png,8.092150878978536,
00013.png,8.121515658904194,
00030.png,8.148904364850871,
00012.png,8.16490969624735,
00031.png,8.21538304121431,
00011.png,8.232298171205052,
00032.png,8.298115261764039,
00010.png,8.307613290845701,
00009.png,8.386459873031228,
00033.png,8.390988439042836,
00008.png,8.472147808443964,
00034.png,8.480054995267622,
00121.png,8.482271442735183,
00122.png,8.490851812303823,
00120.png,8.494448269795,
00111.png,8.497258547394907,
00112.png,8.497735257112865,
00123.png,8.524770731999538,
00119.png,8.54493149575842,
00113.png,8.549775573913479,
00110.png,8.561771994175537,
00007.png,8.56187925028469,
00035.png,8.571672724273085,
00124.png,8.579981135938077,
00118.png,8.598154537497344,
00131.png,8.617724932313365,
00130.png,8.618098802984775,
00114.png,8.620705404997317,
00125.png,8.636551397511582,
00129.png,8.639766551923827,
00132.png,8.640451837642061,
00117.png,8.640944051101606,
00006.png,8.65001514699626,
00115.png,8.659470225016975,
00116.png,8.665190101088335,
00036.png,8.674376923803791,
00109.png,8.678137825688424,
00128.png,8.682056550764024,
00126.png,8.684746162134566,
00133.png,8.689298790499834,
00127.png,8.70922269511891,
00005.png,8.724688007692002,
00134.png,8.763504909764087,
00004.png,8.7765772962495,
00037.png,8.79465461612088,
00108.png,8.808803758272425,
00003.png,8.815893170558454,
00002.png,8.824878724253118,
00001.png,8.843724855709716,
00135.png,8.854694815490234,
00000.png,8.879865271995108,
00199.png,8.914882677327078,
00038.png,8.926809883387783,
00107.png,8.942462290797238,
00136.png,8.945329416042043,
00198.png,8.95160574588413,
00197.png,8.996203754542499,
00190.png,9.04745902979736,
00196.png,9.048923245020127,
00188.png,9.049437016041296,
00191.png,9.050272645996245,
00189.png,9.050422285015415,
00187.png,9.053217892122575,
00192.png,9.05985890216811,
00186.png,9.063603127269715,
00137.png,9.065042293832825,
00039.png,9.080573745284752,
00193.png,9.084762196675584,
00106.png,9.091684471920757,
00185.png,9.093515690126843,
00195.png,9.09747635483879,
00194.png,9.100781216764183,
00184.png,9.123858796077151,
00183.png,9.160676785735788,
00138.png,9.182602771632148,
00182.png,9.201357491940641,
00181.png,9.24729937520435,
00105.png,9.24854726928747,
00040.png,9.256848439637565,
